Sku,,Description,Image,Category,Brand,Price,Stock
K1PC04,Dorman Smith K Series 10kA 1-pole 4A C type MCB K1PC04,"Exceeds the requirements of EN 60898
10kA rated to the requirements of EN 60898
15kA rated to the requirements of EN 60947
Contact position indicator
Maximum cable termination: 35mm²
Width: 17.5mm",https://storage.electrika.com/manu/man-0160/picsprod/1pole_1_8xdg9k.jpg|https://storage.electrika.com/manu/man-0160/picsprodmedium/dbxinterior_1_hqu5kd.jpg,MCBs,Dorman Smith,17.18,123
K1PC06,Dorman Smith MCB K Series Single Pole Type C 6A 10/15kA K1PC06,"Miniature Circuit breakers are designed to be used with the Loadlimiter 63 SP&N and TP&N distribution board systems.

· 1-pole MCB
· 10kA MCB 1-pole 6A C type
· 10kA rated to EN 60898
· 15kA rated to EN 60947
· Contact position indicator
· Maximum cable termination of 35mm²",https://asset.eezybridge.com/thumb/9288b423-ae4e-41a5-aa43-6b84017a6060/105881|https://asset.eezybridge.com/thumb/9288b423-ae4e-41a5-aa43-6b84017a6060/105882?w=515&h=515|https://asset.eezybridge.com/thumb/9288b423-ae4e-41a5-aa43-6b84017a6060/105883?w=515&h=515,MCBs,Dorman Smith,6.21,123
K1PC10,Dorman Smith MCB K Series Type C Single Pole 10A 10Ka K1PC10,"Miniature Circuit breakers are designed to be used with the Loadlimiter 63 SP&N and TP&N distribution board systems.

· 1-pole MCB
· 10kA MCB 1-pole 10A C type
· 10kA rated to EN 60898
· 15kA rated to EN 60947
· Contact position indicator
· Maximum cable termination of 35mm²",https://asset.eezybridge.com/thumb/9288b423-ae4e-41a5-aa43-6b84017a6060/105886?w=515&h=515|https://asset.eezybridge.com/thumb/9288b423-ae4e-41a5-aa43-6b84017a6060/105884|https://asset.eezybridge.com/thumb/9288b423-ae4e-41a5-aa43-6b84017a6060/105885?w=515&h=515,MCBs,Dorman Smith,4.96,123
K1PC16,Dorman Smith MCB K Series Type C Single Pole 16A 10Ka K1PC16,"Miniature Circuit breakers are designed to be used with the Loadlimiter 63 SP&N and TP&N distribution board systems.

· 1-pole MCB
· 10kA MCB 1-pole 16A C type
· 10kA rated to EN 60898
· 15kA rated to EN 60947
· Contact position indicator
· Maximum cable termination of 35mm²",https://asset.eezybridge.com/thumb/9288b423-ae4e-41a5-aa43-6b84017a6060/105889?w=515&h=515|https://asset.eezybridge.com/thumb/9288b423-ae4e-41a5-aa43-6b84017a6060/105887;https://asset.eezybridge.com/thumb/9288b423-ae4e-41a5-aa43-6b84017a6060/105888?w=515&h=515,MCBs,Dorman Smith,4.96,123
K1PC20,Dorman Smith MCB K Series Type C Single Pole 20A 10Ka K1PC20,"Product Details
Miniature Circuit breakers are designed to be used with the Loadlimiter 63 SP&N and TP&N distribution board systems.

· 1-pole MCB
· 10kA MCB 1-pole 20A C type
· 10kA rated to EN 60898
· 15kA rated to EN 60947
· Contact position indicator
· Maximum cable termination of 35mm²",https://asset.eezybridge.com/thumb/9288b423-ae4e-41a5-aa43-6b84017a6060/105892?w=515&h=515;https://rexelws.proplanet.nl/mediaservice.svc/getmedia/2500328595/FULL;https://asset.eezybridge.com/thumb/9288b423-ae4e-41a5-aa43-6b84017a6060/105891?w=515&h=515,MCBs,Dorman Smith,4.96,123
K1PC25,Dorman Smith MCB K Series Type C SP 25A 10Ka K1PC25,"Dorman Loadlimiter 63 Miniature Circuit Breaker suitable for TP and N distribution boards. It exceeds the requirements of EN 60898 standards, the maximum cable termination of 35mm² and 81mm high current MCB width.

· Contact position indicator
· Maximum cable termination of 35mm²
· 10kA rated to the requirements of EN 60898
· 15kA rated to the requirements of EN 60947",https://rexelws.proplanet.nl/mediaservice.svc/getmedia/2500328596/FULL,MCBs,Dorman Smith,13.65,123
K1PC32,Dorman Smith MCB K Series Type C Single Pole 32A 10Ka K1PC32,"Miniature Circuit breakers are designed to be used with the Loadlimiter 63 SP&N and TP&N distribution board systems.

· 1-pole MCB
· 10kA MCB 1-pole 32A C type
· 10kA rated to EN 60898
· 15kA rated to EN 60947
· Contact position indicator
· Maximum cable termination of 35mm²",https://asset.eezybridge.com/thumb/9288b423-ae4e-41a5-aa43-6b84017a6060/105896?w=515&h=515;https://rexelws.proplanet.nl/mediaservice.svc/getmedia/2500328723/FULL;https://asset.eezybridge.com/thumb/9288b423-ae4e-41a5-aa43-6b84017a6060/105895?w=515&h=515,MCBs,Dorman Smith,4.96,123
K1PC40,Dorman Smith MCB K Series Type C SP 40A 10Ka K1PC40,"Dorman Loadlimiter 63 Miniature Circuit Breaker suitable for TP and N distribution boards. It exceeds the requirements of EN 60898 standards, the maximum cable termination of 35mm² and 81mm high current MCB width.

· Contact position indicator
· Maximum cable termination of 35mm²
· 10kA rated to the requirements of EN 60898
· 15kA rated to the requirements of EN 60947",https://storage.electrika.com/manu/man-0160/picsprodmedium/1pole_1_8xdg9k.jpg,MCBs,Dorman Smith,6.82,123
K1PC50,Dorman Smith MCB K Series Type C SP 50A 10Ka K1PC50,"Dorman Loadlimiter 63 Miniature Circuit Breaker suitable for TP and N distribution boards. It exceeds the requirements of EN 60898 standards, the maximum cable termination of 35mm² and 81mm high current MCB width.

· Contact position indicator
· Maximum cable termination of 35mm²
· 10kA rated to the requirements of EN 60898
· 15kA rated to the requirements of EN 60947",https://rexelws.proplanet.nl/mediaservice.svc/getmedia/2500328725/FULL,MCBs,Dorman Smith,8.60,123
K1PC63,Dorman Smith MCB K Series Type C SP 63A 10Ka K1PC63,"Miniature Circuit breakers are designed to be used with the Loadlimiter 63 SP&N and TP&N distribution board systems.

· 1-pole MCB
· 10kA MCB 1-pole 63A C type
· 10kA rated to EN 60898
· 15kA rated to EN 60947
· Contact position indicator
· Maximum cable termination of 35mm²",https://asset.eezybridge.com/thumb/9288b423-ae4e-41a5-aa43-6b84017a6060/105899?w=515&h=515;https://rexelws.proplanet.nl/mediaservice.svc/getmedia/2500328730/FULL;https://asset.eezybridge.com/thumb/9288b423-ae4e-41a5-aa43-6b84017a6060/105898?w=515&h=515,MCBs,Dorman Smith,8.19,123
