Sku,,Description,Image,Category,Brand,Price,Stock
YB1N3P32TC,Dorman Smith YB1 25kA 3-pole 32A MCCB YB1N3P32TC,"Exceeds the requirements of EN 60947-2
Three-pole MCCBs have adjustable thermal and fixed magnetic overloads
Thermal overload adjusts to 1 x In, 0.8 x In and 0.63 x In
Ultimate breaking capacity: 25kA at 415V AC
Cable connection: Via cable clamps and maximum cable termination is 70mm²
Rated insulation voltage: 690V AC (Ui)
Max current rating: 32A
Min current rating: 20A",https://storage.electrika.com/manu/man-0160/picsprod/yb13p_1_pml2bw.jpg,MCCBs,Dorman Smith,124.44,123
YB1N3P40TC,Dorman Smith YB1 25kA 3-pole 40A MCCB YB1N3P40TC,"Exceeds the requirements of EN 60947-2
Three-pole MCCBs have adjustable thermal and fixed magnetic overloads
Thermal overload adjusts to 1 x In, 0.8 x In and 0.63 x In
Ultimate breaking capacity: 25kA at 415V AC
Cable connection: Via cable clamps and maximum cable termination is 70mm²
Rated insulation voltage: 690V AC (Ui)
Max current rating: 40A
Min current rating: 25A",https://storage.electrika.com/manu/man-0160/picsprod/yb13p_1_pml2bw.jpg,MCCBs,Dorman Smith,124.44,123
YB1N3P63TC,Dorman Smith YB1 25kA 3-pole 63A MCCB YB1N3P63TC,"Exceeds the requirements of EN 60947-2
Three-pole MCCBs have adjustable thermal and fixed magnetic overloads
Thermal overload adjusts to 1 x In, 0.8 x In and 0.63 x In
Ultimate breaking capacity: 25kA at 415V AC
Cable connection: Via cable clamps and maximum cable termination is 70mm²
Rated insulation voltage: 690V AC (Ui)
Max current rating: 63A
Min current rating: 40A",https://storage.electrika.com/manu/man-0160/picsprodmedium/yb13p_1_pml2bw.jpg,MCCBs,Dorman Smith,146.05,123
YB1N3P80TC,Dorman Smith YB1 25kA 3-pole 80A MCCB YB1N3P80TC,"Exceeds the requirements of EN 60947-2
Three-pole MCCBs have adjustable thermal and fixed magnetic overloads
Thermal overload adjusts to 1 x In, 0.8 x In and 0.63 x In
Ultimate breaking capacity: 25kA at 415V AC
Cable connection: Via cable clamps and maximum cable termination is 70mm²
Rated insulation voltage: 690V AC (Ui)
Max current rating: 80A
Min current rating: 50A",https://storage.electrika.com/manu/man-0160/picsprodmedium/yb13p_1_pml2bw.jpg,MCCBs,Dorman Smith,146.05,123
YB1N3P100TC,Dorman Smith YB1 25kA 3-pole 100A MCCB YB1N3P100TC,"Exceeds the requirements of EN 60947-2
Three-pole MCCBs have adjustable thermal and fixed magnetic overloads
Thermal overload adjusts to 1 x In, 0.8 x In and 0.63 x In
Ultimate breaking capacity: 25kA at 415V AC
Cable connection: Via cable clamps and maximum cable termination is 70mm²
Rated insulation voltage: 690V AC (Ui)
Max current rating: 100A
Min current rating: 63A
",https://storage.electrika.com/manu/man-0160/picsprodmedium/yb13p_1_pml2bw.jpg,MCCBs,Dorman Smith,79.24,123
YB1N3P125TC,Dorman Smith YB1 25kA 3-pole 125A MCCB YB1N3P125TC,"Exceeds the requirements of EN 60947-2
Three-pole MCCBs have adjustable thermal and fixed magnetic overloads
Thermal overload adjusts to 1 x In, 0.8 x In and 0.63 x In
Ultimate breaking capacity: 25kA at 415V AC
Cable connection: Via cable clamps and maximum cable termination is 70mm²
Rated insulation voltage: 690V AC (Ui)
Max current rating: 125A
Min current rating: 80A",https://storage.electrika.com/manu/man-0160/picsprodmedium/yb13p_1_pml2bw.jpg,MCCBs,Dorman Smith,79.24,123
YB1N3P160TC,Dorman Smith YB1 25kA 3-pole 160A MCCB YB1N3P160TC,"Exceeds the requirements of EN 60947-2
Three-pole MCCBs have adjustable thermal and fixed magnetic overloads
Thermal overload adjusts to 1 x In, 0.8 x In and 0.63 x In
Ultimate breaking capacity: 25kA at 415V AC
Cable connection: Via cable clamps and maximum cable termination is 70mm²
Rated insulation voltage: 690V AC (Ui)
Max current rating: 160A
Min current rating: 100A",https://storage.electrika.com/manu/man-0160/picsprodmedium/yb13p_1_pml2bw.jpg,MCCBs,Dorman Smith,146.05,123
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
