SKU,Title,Description,Price,Category,Stock,Brand
PB5322413,Europa IP67 Insulated Adaptable Boxes PB5322413,"IP67 IK10, ABS Box, Quick turn screws , Hinged lid, Mounting plate to be ordered separately",35.2314,Enclosures & Accessories,100,Europa Components
PB5201514,Europa IP67 Insulated Adaptable Boxes PB5201514,"IP67 IK10, ABS Box, Quick turn screws , Hinged lid, Mounting plate to be ordered separately",26.5734,Enclosures & Accessories,100,Europa Components
MS-SDS11N7MC,Europa Metal Clad Compact Star Delta Starters (IP54) MS-SDS11N7MC,"IP54 , Cover: RAL 7035 / Base: RAL 7012, Overload Relays must be ordered separately , H:240 x W:310 x D:165mm",380.0635,Starters,100,Europa Components
MES50,Europa MES MES50,"Rated at 415V 80kA, 69 x 17.5mm",12.5652,Fuses,100,Europa Components
MECU18SP17/80,Europa Metal Clad Consumer Unit (IP40) MECU18SP17/80,"IP40, Earth & neutral terminal bars included, Lift up stay put lid, Top & bottom round knockouts: 4 x 20mm + 1 x 25mm, Large enclosure for easy wiring (Busbar sold separately), H:240 x W:340 x D:105mm",#N/A,Enclosures & Accessories,100,Europa Components
MEC4T,Europa Metal Clad Modular Enclosures (IP40) MEC4T,"IP40, Suitable for consumer unit tails (Cable), H:190 x W:115 x D:61mm (88mm inc lid)",31.5905,Enclosures & Accessories,100,Europa Components
M20DW,Europa IP65 Metric Cable Glands M20DW,"IP68 rated when used with neoprene washer (sold separately), Manufactured from nylon, Low smoke, Halogen free, Locking nut included, Dynamic state -20°C to +80°C, intermittent to +100°C",5.87,Cables,100,Europa Components
LX9-FGU,Europa AC Coils for LC1 Contactors LX9-FGU,50Hz / 60Hz available on request,111.642,Contactors,100,Europa Components
LX9-FFU,Europa AC Coils for LC1 Contactors LX9-FFU,50Hz / 60Hz available on request,78.913,Contactors,100,Europa Components
LX1-FHF,Europa AC Coils for LC1 Contactors LX1-FHF,50Hz / 60Hz available on request,121.739,Contactors,100,Europa Components
LP4XMV/2RED,Europa Low Profile Xenon Beacons LP4XMV/2RED,"IP67 (When installed) , H:95mm / W:76mm, Flash rate 75 per min",43.4343,"Push Buttons, Key Switches & Pilot Lights",100,Europa Components
LP4XMV/2,Europa Low Profile Xenon Beacons LP4XMV/2,"IP67 (When installed) , H:95mm / W:76mm, Flash rate 75 per min",43.4343,"Push Buttons, Key Switches & Pilot Lights",100,Europa Components
